,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
62,6.0,Sun,2021-09-26,18:00,Lazio,2.2,3–2,2.3,Roma,32000.0,Stadio Olimpico,Marco Guida,Match Report,
63,6.0,Sun,2021-09-26,20:45,Napoli,1.8,2–0,0.2,Cagliari,20000.0,Stadio San Paolo,Marco Piccinini,Match Report,
64,6.0,Mon,2021-09-27,20:45,Venezia,1.3,1–1,0.7,Torino,4888.0,Stadio Pierluigi Penzo,Lorenzo Maggioni,Match Report,
65,,,,,,,,,,,,,,
66,7.0,Fri,2021-10-01,20:45,Cagliari,0.4,1–1,1.1,Venezia,8135.0,Sardegna Arena,Manuel Volpi,Match Report,
67,7.0,Sat,2021-10-02,15:00,Salernitana,0.5,1–0,1.9,Genoa,10077.0,Stadio Arechi,Maurizio Mariani,Match Report,
68,7.0,Sat,2021-10-02,18:00,Torino,1.0,0–1,0.9,Juventus,12073.0,Stadio Olimpico di Torino,Paolo Valeri,Match Report,
69,7.0,Sat,2021-10-02,20:45,Sassuolo,1.5,1–2,1.9,Inter,10400.0,Stadio Città del Tricolore,Luca Pairetto,Match Report,
70,7.0,Sun,2021-10-03,12:30,Bologna,0.5,3–0,0.6,Lazio,12975.0,Stadio Renato Dall'Ara,Davide Massa,Match Report,
71,7.0,Sun,2021-10-03,15:00,Sampdoria,1.6,3–3,2.7,Udinese,4292.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
72,7.0,Sun,2021-10-03,15:00,Hellas Verona,0.4,4–0,1.4,Spezia,8398.0,Stadio Marc'Antonio Bentegodi,Giacomo Camplone,Match Report,
73,7.0,Sun,2021-10-03,18:00,Fiorentina,0.7,1–2,1.7,Napoli,15264.0,Stadio Artemio Franchi,Simone Sozza,Match Report,
74,7.0,Sun,2021-10-03,18:00,Roma,1.3,2–0,0.6,Empoli,31946.0,Stadio Olimpico,Giovanni Ayroldi,Match Report,
