,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
51,6.0,Sat,2021-09-25,15:30,Eint Frankfurt,1.2,1–1,1.0,Köln,24000.0,Commerzbank-Arena,Martin Petersen,Match Report,
52,6.0,Sat,2021-09-25,15:30,Hoffenheim,1.7,3–1,0.6,Wolfsburg,8523.0,PreZero Arena,Daniel Siebert,Match Report,
53,6.0,Sat,2021-09-25,15:30,Leverkusen,1.6,1–0,1.0,Mainz 05,16624.0,BayArena,Bastian Dankert,Match Report,
54,6.0,Sat,2021-09-25,15:30,Union Berlin,1.2,1–0,0.6,Arminia,11000.0,Stadion An der Alten Försterei,Marco Fritz,Match Report,
55,6.0,Sat,2021-09-25,15:30,RB Leipzig,3.9,6–0,0.3,Hertha BSC,23500.0,Red Bull Arena,Sascha Stegemann,Match Report,
56,6.0,Sat,2021-09-25,18:30,M'Gladbach,1.4,1–0,0.4,Dortmund,25000.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
57,6.0,Sun,2021-09-26,15:30,Bochum,0.7,0–0,0.2,Stuttgart,15300.0,Vonovia Ruhrstadion,Christian Dingert,Match Report,
58,6.0,Sun,2021-09-26,17:30,Freiburg,3.0,3–0,0.2,Augsburg,14400.0,Schwarzwald-Stadion,Daniel Schlager,Match Report,
59,,,,,,,,,,,,,,
60,7.0,Fri,2021-10-01,20:30,Köln,2.7,3–1,1.2,Greuther Fürth,40000.0,RheinEnergieSTADION,Matthias Jöllenbeck,Match Report,
61,7.0,Sat,2021-10-02,15:30,Stuttgart,0.8,3–1,1.3,Hoffenheim,24211.0,Mercedes-Benz Arena,Harm Osmers,Match Report,
62,7.0,Sat,2021-10-02,15:30,Dortmund,3.0,2–1,0.8,Augsburg,41000.0,Signal Iduna Park,Tobias Welz,Match Report,
63,7.0,Sat,2021-10-02,15:30,Hertha BSC,1.0,1–2,1.0,Freiburg,18376.0,Olympiastadion Berlin,Patrick Ittrich,Match Report,
64,7.0,Sat,2021-10-02,15:30,Wolfsburg,1.3,1–3,2.8,M'Gladbach,12845.0,Volkswagen Arena,Frank Willenborg,Match Report,
65,7.0,Sat,2021-10-02,18:30,RB Leipzig,2.5,3–0,1.3,Bochum,25598.0,Red Bull Arena,Robert Hartmann,Match Report,
66,7.0,Sun,2021-10-03,15:30,Mainz 05,1.1,1–2,1.3,Union Berlin,16000.0,Opel Arena,Tobias Stieler,Match Report,
67,7.0,Sun,2021-10-03,17:30,Bayern Munich,2.7,1–2,0.7,Eint Frankfurt,25000.0,Allianz Arena,Florian Badstübner,Match Report,
68,7.0,Sun,2021-10-03,19:30,Arminia,0.4,0–4,3.0,Leverkusen,16250.0,SchücoArena,Felix Zwayer,Match Report,
69,,,,,,,,,,,,,,
