,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,player_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,week,year
69,Frederico Rodrigues de Paula Santos,MID,Man Utd,2.5,0,0,6,0,3.1,331,0.0,0.0,0.0,0.0,9,2,0,0.5,1.0,2022-08-07T13:00:00Z,52,5,0,0,0,0,1,0,83919,0,2,1,1.0,1,0,0,0,55,True,0,1,2023
70,Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,117,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,3484,0,2,1,0.0,0,0,0,0,45,False,0,1,2023
71,Jean-Philippe Mateta,FWD,Crystal Palace,1.0,0,0,2,0,11.2,168,0.0,0.0,0.0,0.0,1,1,0,2.0,0.0,2022-08-05T19:00:00Z,32,1,0,0,0,0,1,0,67462,0,2,0,10.0,1,0,0,0,55,True,0,1,2023
72,SalomÃ³n RondÃ³n,FWD,Everton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,0,1,0,15143,0,1,0,0.0,0,0,0,0,50,True,0,1,2023
73,Liam Cooper,DEF,Leeds,0.0,0,0,0,0,0.0,221,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,6072,0,1,2,0.0,0,0,0,0,45,True,0,1,2023
74,Erling Haaland,FWD,Man City,5.0,0,3,48,1,4.8,318,0.0,0.0,0.0,0.0,10,0,2,14.0,62.6,2022-08-07T15:30:00Z,77,19,0,0,0,0,1,0,3398599,0,2,0,73.0,13,0,0,0,115,False,0,1,2023
75,Lewis Cook,MID,Bournemouth,1.1,0,0,4,0,0.3,67,0.0,0.0,0.0,0.0,2,0,0,0.8,7.2,2022-08-06T14:00:00Z,18,2,0,0,0,0,1,0,4802,0,0,2,0.0,1,0,0,0,50,True,0,1,2023
76,Remi Matthews,GK,Crystal Palace,0.0,0,0,0,0,0.0,495,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,4672,0,2,0,0.0,0,0,0,0,40,True,0,1,2023
77,Phil Foden,MID,Man City,3.7,0,0,19,1,30.4,314,0.0,0.0,0.0,0.0,10,0,0,5.1,10.8,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,482845,0,2,0,10.0,3,0,0,0,80,False,0,1,2023
78,Calvin Ramsay,DEF,Liverpool,2.5,0,0,0,0,0.0,298,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19927,0,2,2,0.0,0,0,0,0,40,False,0,1,2023
79,Steve Cook,DEF,Nott'm Forest,1.4,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,14958,0,0,2,0.0,0,0,0,0,45,False,0,1,2023
80,Ryan Bertrand,DEF,Leicester,0.0,0,0,0,0,0.0,250,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,3217,0,2,2,0.0,0,0,0,0,40,True,0,1,2023
81,SÃ©kou Mara,FWD,Southampton,1.0,0,0,0,0,0.0,528,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,7535,0,1,4,0.0,0,0,0,0,55,False,0,1,2023
82,Scott McTominay,MID,Man Utd,2.1,0,0,1,0,2.1,338,0.0,0.0,0.0,0.0,9,2,0,2.7,0.0,2022-08-07T13:00:00Z,77,5,0,0,0,0,1,0,22964,0,2,1,26.0,1,0,0,0,50,True,1,1,2023
