,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
54,7,Fri,2022-09-16,20:30:00,Mainz 05,,,,Hertha BSC,,Opel Arena,,Head-to-Head,-0.75,,,-0.75,-0.75,-0.75,-0.75
55,7,Sat,2022-09-17,15:30:00,Dortmund,,,,Schalke 04,,Signal Iduna Park,,Head-to-Head,-1.5,,,-1.5,-1.5,-1.5,-1.5
56,7,Sat,2022-09-17,15:30:00,Leverkusen,,,,Werder Bremen,,BayArena,,Head-to-Head,-1.0,,,-0.5,-0.5,-1.0,-1.0
57,7,Sat,2022-09-17,15:30:00,Stuttgart,,,,Eint Frankfurt,,Mercedes-Benz Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,-0.25,-0.25
58,7,Sat,2022-09-17,15:30:00,Augsburg,,,,Bayern Munich,,WWK Arena,,Head-to-Head,2.25,,,2.5,2.5,2.25,2.25
59,7,Sat,2022-09-17,18:30:00,M'Gladbach,,,,RB Leipzig,,Stadion im Borussia-Park,,Head-to-Head,0.25,,,0.25,0.25,0.25,0.25
60,7,Sun,2022-09-18,15:30:00,Union Berlin,,,,Wolfsburg,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.5,,,-0.5,-0.5,-0.5,-0.5
61,7,Sun,2022-09-18,17:30:00,Bochum,,,,Köln,,Vonovia Ruhrstadion,,Head-to-Head,0.25,,,0.25,0.25,0.25,0.25
62,7,Sun,2022-09-18,19:30:00,Hoffenheim,,,,Freiburg,,PreZero Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,-0.25,-0.25
63,8,Sat,2022-10-02,,Schalke 04,,,,Augsburg,,Veltins-Arena,,Head-to-Head,-0.5,,,-0.25,-0.5,-0.5,
64,8,Sat,2022-10-01,,Werder Bremen,,,,M'Gladbach,,Weserstadion,,Head-to-Head,0.0,,,0.0,0.0,0.0,
65,8,Sat,2022-10-02,,Hertha BSC,,,,Hoffenheim,,Olympiastadion Berlin,,Head-to-Head,0.25,,,0.25,0.0,0.0,
66,8,Sat,2022-10-01,,Freiburg,,,,Mainz 05,,Europa-Park Stadion,,Head-to-Head,-0.25,,,-0.25,-0.25,-0.25,
67,8,Sat,2022-10-01,,Eint Frankfurt,,,,Union Berlin,,Commerzbank-Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,-0.25,
68,8,Sat,2022-10-01,,Köln,,,,Dortmund,,RheinEnergieSTADION,,Head-to-Head,0.25,,,0.5,0.5,0.25,
69,8,Sat,2022-10-01,,Wolfsburg,,,,Stuttgart,,Volkswagen Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,-0.25,
70,8,Sat,2022-09-30,,Bayern Munich,,,,Leverkusen,,Allianz Arena,,Head-to-Head,-1.5,,,-1.75,-1.75,-1.5,
71,8,Sat,2022-10-01,,RB Leipzig,,,,Bochum,,Red Bull Arena,,Head-to-Head,-1.75,,,-1.75,-1.75,-1.75,
72,9,Sat,2022-10-08,,Dortmund,,,,Bayern Munich,,Signal Iduna Park,,Head-to-Head,1.0,,,0.5,0.5,0.75,
73,9,Sat,2022-10-09,,M'Gladbach,,,,Köln,,Stadion im Borussia-Park,,Head-to-Head,-0.5,,,-0.5,-0.5,-0.5,
74,9,Sat,2022-10-08,,Bochum,,,,Eint Frankfurt,,Vonovia Ruhrstadion,,Head-to-Head,0.5,,,0.5,0.5,0.5,
75,9,Sat,2022-10-09,,Stuttgart,,,,Union Berlin,,Mercedes-Benz Arena,,Head-to-Head,0.0,,,0.25,0.25,0.0,
76,9,Sat,2022-10-07,,Hoffenheim,,,,Werder Bremen,,PreZero Arena,,Head-to-Head,-0.5,,,-0.75,-0.75,-0.5,
77,9,Sat,2022-10-09,,Hertha BSC,,,,Freiburg,,Olympiastadion Berlin,,Head-to-Head,0.25,,,0.25,0.25,0.25,
78,9,Sat,2022-10-08,,Mainz 05,,,,RB Leipzig,,Opel Arena,,Head-to-Head,0.25,,,0.25,0.25,0.25,
79,9,Sat,2022-10-08,,Augsburg,,,,Wolfsburg,,WWK Arena,,Head-to-Head,0.25,,,-0.25,-0.25,0.0,
80,9,Sat,2022-10-08,,Leverkusen,,,,Schalke 04,,BayArena,,Head-to-Head,-1.25,,,-1.0,-1.0,-1.0,
