,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
78,8.0,Sat,2022-10-01,,Eint Frankfurt,,,,Union Berlin,,Commerzbank-Arena,,Head-to-Head,
79,,,,,,,,,,,,,,
80,9.0,Sat,2022-10-08,,Augsburg,,,,Wolfsburg,,WWK Arena,,Head-to-Head,
81,9.0,Sat,2022-10-08,,Dortmund,,,,Bayern Munich,,Signal Iduna Park,,Head-to-Head,
82,9.0,Sat,2022-10-08,,Bochum,,,,Eint Frankfurt,,Vonovia Ruhrstadion,,Head-to-Head,
83,9.0,Sat,2022-10-08,,Stuttgart,,,,Union Berlin,,Mercedes-Benz Arena,,Head-to-Head,
84,9.0,Sat,2022-10-08,,Leverkusen,,,,Schalke 04,,BayArena,,Head-to-Head,
85,9.0,Sat,2022-10-08,,Hoffenheim,,,,Werder Bremen,,PreZero Arena,,Head-to-Head,
86,9.0,Sat,2022-10-08,,M'Gladbach,,,,Köln,,Stadion im Borussia-Park,,Head-to-Head,
87,9.0,Sat,2022-10-08,,Mainz 05,,,,RB Leipzig,,Opel Arena,,Head-to-Head,
88,9.0,Sat,2022-10-08,,Hertha BSC,,,,Freiburg,,Olympiastadion Berlin,,Head-to-Head,
89,,,,,,,,,,,,,,
90,10.0,Sat,2022-10-15,,Bayern Munich,,,,Freiburg,,Allianz Arena,,Head-to-Head,
91,10.0,Sat,2022-10-15,,Werder Bremen,,,,Mainz 05,,Weserstadion,,Head-to-Head,
92,10.0,Sat,2022-10-15,,Eint Frankfurt,,,,Leverkusen,,Commerzbank-Arena,,Head-to-Head,
93,10.0,Sat,2022-10-15,,Schalke 04,,,,Hoffenheim,,Veltins-Arena,,Head-to-Head,
94,10.0,Sat,2022-10-15,,Köln,,,,Augsburg,,RheinEnergieSTADION,,Head-to-Head,
95,10.0,Sat,2022-10-15,,Union Berlin,,,,Dortmund,,Stadion An der Alten Försterei,,Head-to-Head,
96,10.0,Sat,2022-10-15,,Wolfsburg,,,,M'Gladbach,,Volkswagen Arena,,Head-to-Head,
